,celltype
SpSC6_RS1o2_sc.1,RS1o2
SpSC6_RS1o2_sc.2,RS1o2
SpSC6_RS1o2_sc.3,RS1o2
SpSC6_RS1o2_sc.4,RS1o2
SpSC11_RS1o2_sc.22,RS1o2
SpSC11_RS1o2_sc.24,RS1o2
SpSC11_RS1o2_sc.27,RS1o2
SpSC11_RS1o2_sc.28,RS1o2
SpSC11_RS1o2_sc.29,RS1o2
SpSC11_RS1o2_sc.33,RS1o2
SpSC11_RS1o2_sc.36,RS1o2
SpSC11_RS1o2_sc.38,RS1o2
SpSC11_RS1o2_sc.41,RS1o2
SpSC11_RS1o2_sc.42,RS1o2
SpSC22_RS1o2_sc.1,RS1o2
SpSC22_RS1o2_sc.3,RS1o2
SpSC22_RS1o2_sc.4,RS1o2
SpSC22_RS1o2_sc.9,RS1o2
SpSC22_RS1o2_sc.10,RS1o2
SpSC22_RS1o2_sc.12,RS1o2
SpSC22_RS1o2_sc.13,RS1o2
SpSC22_RS1o2_sc.14,RS1o2
SpSC22_RS1o2_sc.15,RS1o2
SpSC22_RS1o2_sc.17,RS1o2
SpSC22_RS1o2_sc.18,RS1o2
SpSC22_RS1o2_sc.19,RS1o2
SpSC22_RS1o2_sc.26,RS1o2
SpSC22_RS1o2_sc.29,RS1o2
SpSC22_RS1o2_sc.30,RS1o2
SpSC22_RS1o2_sc.38,RS1o2
SpSC22_RS1o2_sc.40,RS1o2
SpSC22_RS1o2_sc.41,RS1o2
SpSC22_RS1o2_sc.42,RS1o2
SpSC22_RS1o2_sc.43,RS1o2
SpSC22_RS1o2_sc.46,RS1o2
SpSC22_RS1o2_sc.47,RS1o2
SpSC22_RS1o2_sc.48,RS1o2
SpSC22_RS1o2_sc.49,RS1o2
SpSC22_RS1o2_sc.50,RS1o2
SpSC22_RS1o2_sc.51,RS1o2
SpSC22_RS1o2_sc.52,RS1o2
SpSC22_RS1o2_sc.55,RS1o2
SpSC22_RS1o2_sc.57,RS1o2
SpSC22_RS1o2_sc.58,RS1o2
SpSC22_RS1o2_sc.60,RS1o2
SpSC22_RS1o2_sc.61,RS1o2
SpSC22_RS1o2_sc.62,RS1o2
SpSC31_RS3o4_sc.1,RS3o4
SpSC31_RS3o4_sc.2,RS3o4
SpSC31_RS3o4_sc.3,RS3o4
SpSC31_RS3o4_sc.4,RS3o4
SpSC31_RS3o4_sc.9,RS3o4
SpSC31_RS3o4_sc.10,RS3o4
SpSC31_RS3o4_sc.12,RS3o4
SpSC31_RS3o4_sc.13,RS3o4
SpSC31_RS3o4_sc.14,RS3o4
SpSC31_RS3o4_sc.15,RS3o4
SpSC31_RS3o4_sc.16,RS3o4
SpSC31_RS3o4_sc.17,RS3o4
SpSC31_RS3o4_sc.18,RS3o4
SpSC31_RS3o4_sc.19,RS3o4
SpSC31_RS3o4_sc.25,RS3o4
SpSC31_RS3o4_sc.26,RS3o4
SpSC31_RS3o4_sc.29,RS3o4
SpSC31_RS3o4_sc.30,RS3o4
SpSC31_RS3o4_sc.33,RS3o4
SpSC31_RS3o4_sc.37,RS3o4
SpSC31_RS3o4_sc.38,RS3o4
SpSC31_RS3o4_sc.40,RS3o4
SpSC31_RS3o4_sc.42,RS3o4
SpSC31_RS3o4_sc.43,RS3o4
SpSC31_RS3o4_sc.44,RS3o4
SpSC31_RS3o4_sc.45,RS3o4
SpSC31_RS3o4_sc.47,RS3o4
SpSC31_RS3o4_sc.48,RS3o4
SpSC31_RS3o4_sc.49,RS3o4
SpSC31_RS3o4_sc.50,RS3o4
SpSC31_RS3o4_sc.52,RS3o4
SpSC31_RS3o4_sc.54,RS3o4
SpSC31_RS3o4_sc.57,RS3o4
SpSC31_RS3o4_sc.58,RS3o4
SpSC31_RS3o4_sc.60,RS3o4
SpSC31_RS3o4_sc.61,RS3o4
SpSC31_RS3o4_sc.62,RS3o4
SpSC32_RS5o6_sc.1,RS5o6
SpSC32_RS5o6_sc.2,RS5o6
SpSC32_RS5o6_sc.3,RS5o6
SpSC32_RS5o6_sc.4,RS5o6
SpSC32_RS5o6_sc.9,RS5o6
SpSC32_RS5o6_sc.10,RS5o6
SpSC32_RS5o6_sc.12,RS5o6
SpSC32_RS5o6_sc.13,RS5o6
SpSC32_RS5o6_sc.15,RS5o6
SpSC32_RS5o6_sc.16,RS5o6
SpSC32_RS5o6_sc.17,RS5o6
SpSC32_RS5o6_sc.18,RS5o6
SpSC32_RS5o6_sc.19,RS5o6
SpSC32_RS5o6_sc.26,RS5o6
SpSC32_RS5o6_sc.29,RS5o6
SpSC32_RS5o6_sc.30,RS5o6
SpSC32_RS5o6_sc.33,RS5o6
SpSC32_RS5o6_sc.37,RS5o6
SpSC32_RS5o6_sc.38,RS5o6
SpSC32_RS5o6_sc.40,RS5o6
SpSC32_RS5o6_sc.41,RS5o6
SpSC32_RS5o6_sc.42,RS5o6
SpSC32_RS5o6_sc.43,RS5o6
SpSC32_RS5o6_sc.44,RS5o6
SpSC32_RS5o6_sc.45,RS5o6
SpSC32_RS5o6_sc.46,RS5o6
SpSC32_RS5o6_sc.47,RS5o6
SpSC32_RS5o6_sc.48,RS5o6
SpSC32_RS5o6_sc.49,RS5o6
SpSC32_RS5o6_sc.50,RS5o6
SpSC32_RS5o6_sc.51,RS5o6
SpSC32_RS5o6_sc.52,RS5o6
SpSC32_RS5o6_sc.53,RS5o6
SpSC32_RS5o6_sc.54,RS5o6
SpSC32_RS5o6_sc.55,RS5o6
SpSC32_RS5o6_sc.56,RS5o6
SpSC32_RS5o6_sc.57,RS5o6
SpSC32_RS5o6_sc.58,RS5o6
SpSC32_RS5o6_sc.59,RS5o6
SpSC32_RS5o6_sc.60,RS5o6
SpSC32_RS5o6_sc.61,RS5o6
SpSC32_RS5o6_sc.62,RS5o6
SpSC9_RS7o8_sc.22,RS7o8
SpSC9_RS7o8_sc.25,RS7o8
SpSC9_RS7o8_sc.26,RS7o8
SpSC9_RS7o8_sc.27,RS7o8
SpSC9_RS7o8_sc.30,RS7o8
SpSC9_RS7o8_sc.31,RS7o8
SpSC9_RS7o8_sc.32,RS7o8
SpSC9_RS7o8_sc.33,RS7o8
SpSC9_RS7o8_sc.35,RS7o8
SpSC9_RS7o8_sc.36,RS7o8
SpSC9_RS7o8_sc.37,RS7o8
SpSC9_RS7o8_sc.40,RS7o8
SpSC9_RS7o8_sc.41,RS7o8
SpSC30_RS7o8_sc.1,RS7o8
SpSC30_RS7o8_sc.2,RS7o8
SpSC30_RS7o8_sc.3,RS7o8
SpSC30_RS7o8_sc.4,RS7o8
SpSC30_RS7o8_sc.9,RS7o8
SpSC30_RS7o8_sc.10,RS7o8
SpSC30_RS7o8_sc.12,RS7o8
SpSC30_RS7o8_sc.13,RS7o8
SpSC30_RS7o8_sc.14,RS7o8
SpSC30_RS7o8_sc.15,RS7o8
SpSC30_RS7o8_sc.16,RS7o8
SpSC30_RS7o8_sc.17,RS7o8
SpSC30_RS7o8_sc.18,RS7o8
SpSC30_RS7o8_sc.19,RS7o8
SpSC30_RS7o8_sc.25,RS7o8
SpSC30_RS7o8_sc.26,RS7o8
SpSC30_RS7o8_sc.29,RS7o8
SpSC30_RS7o8_sc.30,RS7o8
SpSC30_RS7o8_sc.33,RS7o8
SpSC30_RS7o8_sc.37,RS7o8
SpSC30_RS7o8_sc.38,RS7o8
SpSC30_RS7o8_sc.40,RS7o8
SpSC30_RS7o8_sc.41,RS7o8
SpSC30_RS7o8_sc.42,RS7o8
SpSC30_RS7o8_sc.43,RS7o8
SpSC30_RS7o8_sc.44,RS7o8
SpSC30_RS7o8_sc.45,RS7o8
SpSC30_RS7o8_sc.46,RS7o8
SpSC30_RS7o8_sc.47,RS7o8
SpSC30_RS7o8_sc.48,RS7o8
SpSC30_RS7o8_sc.49,RS7o8
SpSC30_RS7o8_sc.50,RS7o8
SpSC30_RS7o8_sc.51,RS7o8
SpSC30_RS7o8_sc.52,RS7o8
SpSC30_RS7o8_sc.53,RS7o8
SpSC30_RS7o8_sc.54,RS7o8
SpSC30_RS7o8_sc.55,RS7o8
SpSC30_RS7o8_sc.56,RS7o8
SpSC30_RS7o8_sc.57,RS7o8
SpSC30_RS7o8_sc.58,RS7o8
SpSC30_RS7o8_sc.59,RS7o8
SpSC30_RS7o8_sc.60,RS7o8
SpSC30_RS7o8_sc.61,RS7o8
SpSC30_RS7o8_sc.62,RS7o8
