,0,1
SpSC6_RS1o2_sc.1,210.50267,-95.71208
SpSC6_RS1o2_sc.2,222.07526,-91.415726
SpSC6_RS1o2_sc.3,207.50148,-86.25378
SpSC6_RS1o2_sc.4,216.39526,-82.04387
SpSC11_RS1o2_sc.22,165.3348,-74.55532
SpSC11_RS1o2_sc.24,166.68639,-112.323975
SpSC11_RS1o2_sc.27,173.5011,-147.52634
SpSC11_RS1o2_sc.28,212.3852,-139.92885
SpSC11_RS1o2_sc.29,186.18082,-83.723
SpSC11_RS1o2_sc.33,175.47508,-79.01141
SpSC11_RS1o2_sc.36,180.23436,-92.27362
SpSC11_RS1o2_sc.38,160.71864,-84.197624
SpSC11_RS1o2_sc.41,162.92769,-98.4203
SpSC11_RS1o2_sc.42,170.7783,-89.84879
SpSC22_RS1o2_sc.1,184.1285,-120.96257
SpSC22_RS1o2_sc.3,192.6429,-147.15784
SpSC22_RS1o2_sc.4,179.02505,-112.16546
SpSC22_RS1o2_sc.9,209.32619,-158.3327
SpSC22_RS1o2_sc.10,183.85738,-103.40472
SpSC22_RS1o2_sc.12,194.7318,-118.852486
SpSC22_RS1o2_sc.13,181.46387,-131.7849
SpSC22_RS1o2_sc.14,195.74815,-156.3591
SpSC22_RS1o2_sc.15,192.7511,-97.153854
SpSC22_RS1o2_sc.17,190.60048,-136.83037
SpSC22_RS1o2_sc.18,231.16623,-137.5478
SpSC22_RS1o2_sc.19,188.64285,-162.88661
SpSC22_RS1o2_sc.26,177.359,-159.85318
SpSC22_RS1o2_sc.29,177.99844,-172.80637
SpSC22_RS1o2_sc.30,201.74849,-129.93625
SpSC22_RS1o2_sc.38,162.94133,-132.01582
SpSC22_RS1o2_sc.40,217.20515,-114.63445
SpSC22_RS1o2_sc.41,204.3927,-119.76392
SpSC22_RS1o2_sc.42,192.06491,-177.25204
SpSC22_RS1o2_sc.43,197.46382,-106.492
SpSC22_RS1o2_sc.46,154.2283,-116.77563
SpSC22_RS1o2_sc.47,173.09033,-137.31323
SpSC22_RS1o2_sc.48,191.05466,-127.53463
SpSC22_RS1o2_sc.49,184.59766,-152.38481
SpSC22_RS1o2_sc.50,233.33162,-129.20549
SpSC22_RS1o2_sc.51,204.07089,-149.21706
SpSC22_RS1o2_sc.52,173.98212,-102.87772
SpSC22_RS1o2_sc.55,201.87888,-167.40775
SpSC22_RS1o2_sc.57,188.49065,-111.45989
