,Gene,Nr2c1,Zbtb3,Nanog,Pbx4,Npas2,Atf1,Smc3,Creb3,Mxi1,Mybl1,Tbp,Mxd4,Alx1,Crem,Rfx5,Mesp1,Zfp42,Hoxd8,Hoxa4,Fev,Rfx2,Creb3l4,Rfx4
0,Sox17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Ccdc124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.1673177401282,0.0,0.0,0.0,0.0,0.0,0.0
2,Pxt1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-373.85702826577267,0.0,0.0,0.0,0.0,0.0,-5472.105681252721,-1643.2512039292506,430.6586590929412,-5671.745544466369,-883.3445724178063,-62.648953782179476,434.5504009118004,-29.463690136849042
3,Slc1a2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1700021F07Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Ccdc36,0.0,0.0,0.0,0.0,0.0,0.0,-298.8728731081229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-734.9105760509686,-637.1981966288605,0.0,0.0,-155.63971835968357,0.0,0.0,0.0
6,Prss46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.9256147093652,0.0,0.0,323.82677517164785,0.0,0.0,0.0
7,Cdkn2d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-143.10855857521923,0.0,0.0,0.0
8,Dpep3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-319.48940236061156,0.0,0.0,-129.49258296515015,0.0,0.0,0.0
9,Ddx46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.7940160048726,0.0,0.0,0.0,0.0,0.0,0.0
10,Elf2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Chgb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.512090594715033,0.0,-5.567074120058924,0.0
12,1700001J03Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Zdhhc4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-121.29970819988318,0.0,0.0,-35.336835950850634,0.0,0.0,0.0
14,Hoxb6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Ccdc184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.6037550843739,0.0,0.0,-54.65104716573579
16,Mxd1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Foxs1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Stmn1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3389784543580403,0.0,0.0,0.0
19,Got1l1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.98475719258386,123.37534026363026,0.0,0.0,59.61174378692882,0.0,-35.97158128441471,0.0
20,Bbs7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.9513642698571,0.0,0.0,0.0
21,Tssk1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-336.5605738003545,0.0,0.0,434.38537768692703,-149.82940599412348,265.3864547275148,179.42036362890252,0.0,-59.49267962243691,-93.32502035684935
22,1700022I11Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Ntmt1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.14123201620682,0.0,0.0,-17.07149858001474,0.0,0.0,0.0
24,Slc8a2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Dusp13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Znrf4,0.0,1.1819488349232135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2906.5772165273993,784.1979252740415,0.0,0.0,461.7154749342362,0.0,0.0,-224.8278283688726
27,Prr22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.4945030384018,0.0,1345.2480045691202,300.2993220165522,0.0,0.0,0.0
28,Hormad2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Susd3,0.0,0.0,0.0,0.0,0.0,54.655817832767156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Pnma1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.810281643759918,0.0,0.0,0.0,0.0,0.0,-332.7096950092286,-96.13586712903249,0.0,0.0,-41.98739884722814,0.0,16.997657829170784,-9.522034456428838
31,Ppm1n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11372260655828957,0.0,0.0,-1.8469038443612689,0.0,0.0,0.0
32,Sycp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-304.2445430408826,0.0,0.0,-67.40448791000792,0.0,0.0,0.0,-1387.1775529563122,968.1681074018863,0.0,-475.1379347170693,0.0,0.0,-2.9346360810279766
33,Atoh8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.5571241735868,12.4204933148124,0.0,0.0,0.0
34,Lef1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63.81135364025186,0.0,0.0,0.0
35,Osbp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2819821689021402,-2.220274195708627,0.0,-13.456955955776992,6.9610040570610066,0.0,0.0,4.790148939096358,0.0,-10.023976086646014,0.0
36,1700125H20Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Slc39a3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.573663019783412,0.0,0.0,0.0
38,Zfp423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2029695170164527,0.0,0.0,-0.4218367299508122,0.0,0.0,0.0
