,Gene,Nr2c1,Zbtb3,Rad21,Tal1,Atf1,Smc3,Creb3,Tbp,Mxd1,Mxd4,Ctcfl,Dlx5,Crem,Rfx5,Mesp1,Rfx1,Zfp42,Esx1,Hoxd8,Hoxa4,Fev,Rfx2,Etv2,Creb3l4,Rfx4,Hsfy2
0,Atp6v1e2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-492.0118969518987,0.0,-179.48565997988007
1,Bcl2a1a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.77696539880206,0.0,0.0
2,Spaca4,0.0,0.0,0.0,0.0,-1044.4925344027067,0.0,0.0,1483.621466425741,0.0,0.0,-229.92853574515325,-383.13459232074575,-2547.099616846888,-199.5937047040943,277.4500729263063,-55.733547915118464,-15.566795994670722,-187.22237273446328,-38.345185486765985,-347.8124487078978,149.35882218357332,-150.50124825403782,-9.909600453108578,-3278.7777260372145,-2833.642800750668,-1926.3002566272746
3,Smpd5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9931475546161126,0.0,0.0,0.0,0.0,0.0,0.7522060958166555,0.0,0.0,0.0,-15.103168133035407,0.0,0.0,0.0,0.0,0.0
4,Smc1b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8728300729542107,0.0,0.0,0.0,0.0,0.0,-2.3327431694697043,0.0,0.0,0.0,41.76012363744886,0.0,0.0,0.0,-17.302037279485344,0.0
5,Asz1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Tuba3a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.8740110604456,396.0333247825339,-6145.97789989274,-89.34806134236844,-3092.846271072899,0.0,-10.872857083986807,-234.4523295836204,-358.4785196094354,-269.7529849027219,-560.9064467032714,0.0,-51.77876292855414,4262.98863496637,-88.20568015574781,363.13985543563297
7,Tmem145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.844246694791543,0.0,0.0,0.0,-35.528297906424186,0.0
8,4930505A04Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,4930432K21Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
