,Gene,Zbtb3,Rad21,Npas2,Atf1,Smc3,Creb3,Egr3,Mxd1,Mxd4,Dlx5,Alx1,Crem,Rfx5,Mesp1,Rfx1,Esx1,Hoxd8,Hoxa4,Fev,Rfx2,Etv2,Creb3l4,Rfx4,Hsfy2
0,Mxd1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,St6galnac2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-905.6440991836433,-21.618201807348395,0.0
2,Spem1,0.0,0.0,0.0,0.0,0.0,0.0,-67.74206262101558,0.0,0.0,-1.6553047884488974,0.0,0.0,0.0,-879.2574069335794,0.0,401.2197235581081,-79.68211951369635,179.9261870740866,2.5516844104272685,-3.7130799941849455,0.0,-338.4544265700567,-143.46434092926174,0.0
3,Tex21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-528.558619331298,0.0,-9.533373856229119
4,Dazl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056927554460511395,0.0,0.0,0.0,0.0,0.0
5,Erich2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.27287572848238,0.0,-73.89924866702913,23.236894141382553,0.0,0.48308341207912575,0.0,0.0,-411.31268098490216,-122.69352190607606,0.0
6,Nrg3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dock3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Prss52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.1247686847442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5918529796718963,0.0,0.0,0.0,2.1268229325322796,0.0
9,Gpat2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7782410389528347,0.0,0.0,0.0
10,Dzip1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7673448947962411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5886506371559492,0.0
11,Ccdc42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9910809885480891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-118.32804427412172,0.08979405252683949,1.9234994103948961,0.0,-199.28866613543022,-9.72542721399342,0.0
12,Ovol2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021459249515837234,0.0,0.0,-268.4758614096614,0.0,0.0
13,Lrrc27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016647178346400067,0.0,0.0,-97.74396045564121,-108.52912901876887,-168.84977826061507
14,Brsk2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2313218323225534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06056195743672765,0.0,0.0,-6.442177517844566,-2.3089759778406496,-15.179576791466278
15,Tex101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.514753498361394,0.0,19.37097575984413,-3.5968932056197582,0.0,0.009164734458978484,0.0,0.0,-33.06040997070849,0.0,0.0
16,Egr3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Cabyr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-146.82774228013508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-731.3808008127315,0.0,0.0,0.0,-972.1377963443707,-360.6933025961087,0.0
18,Lrp2bp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.70784851625348,0.0,0.0,0.0,0.0,-15.249373852028796,0.0
19,Dmrtc2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59.22401075114436,-29.398914755207855,0.0,0.0,0.0,0.0,-52.232333622370106,1.5594844428593007,-44.96474445603374,-0.3671376748954895,0.0,0.0,-17.542335628519698,-5.610479582286956,0.0
20,Arrdc5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-592.2716734673171,0.0,0.0,0.0,0.0,0.0,18.667160003220676,0.0,-7.41694377027226,2.2524608402563686,0.0,0.0,-687.3513802258661,-331.97974861746553,-482.7844529309884
21,Clgn,0.0,0.0,0.0,0.0,0.0,0.0,2.2445039294752185,0.0,0.0,-28.455488936813513,0.0,-289.24919753992873,0.0,-198.98587197521303,0.0,0.0,5.386594567025441,-125.22820022363146,-0.34622829991798215,0.0,1.629915762306195,-240.42516110836337,86.81586590945477,-75.65883047988557
22,Dpysl5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09256789704065996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011613330503011866,0.0,0.0,-38.974468266399214,-5.103425283209164,0.0
23,Trem1,0.0,0.0,0.0,0.0,0.0,0.0,-0.5360597295017062,0.0,0.0,1.0837130594743054,0.0,-32.18381746725097,0.0,1.1300503645726458,0.0,-40.82473287468522,-3.6069016695003757,-34.470132181179764,0.14151467343324006,0.019015539506155914,0.0,-27.460829683345096,-6.155234484101383,-200.91790072536878
24,Mapk10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Spata21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-107.06230944194219,0.0,0.0,0.0,-400.15254848555355,0.0,-107.95647529124697,0.0,0.0,-6.254328986035705,0.0,0.0,-806.8520105984419,-10.414856339065313,0.0
26,Lypd4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021630784700331033,0.0,0.0,0.0,-21.588841420026913,0.0,-78.24561873132782,0.0,0.0,-132.6098910602749,-133.3100900789853,-236.3334436504999,-0.0384959210144673,0.0,-14.739887062700367,-928.2973105798013,-55.479205826099275,-316.99216782964015
27,Ccdc113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-132.72697656020105,0.0
28,Arc,0.0,0.0,0.0,0.0,0.0,0.0,2.6123017977352125,0.0,0.0,1.1335862186123464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22750501048211855,0.0,0.0,-43.56001578643048,-3.263420022615531,-92.70480144385961
29,Stk31,0.0,0.0,0.0,0.0,0.0,0.0,-0.6997249342708619,0.0,0.0,0.0,0.0,0.0,0.0,-19.83851664058073,0.0,14.151171464674357,0.0,0.0,-0.022752177892744724,0.0,-2.165744651716598,0.0,0.0,0.0
30,St8sia3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.067073239208009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07496858556577127,0.0,0.0,0.0,-7.955474498189075,0.0
31,Syce3,0.0,0.0,0.0,0.0,0.0,0.0,-0.019924346562148854,0.0,0.0,-291.860533438304,-566.5299081822762,-2086.465613985506,0.0,4528.364925445045,-1082.3272037936085,-2186.4684939129,322.660109132245,-1648.967012436777,4.118376162601433,-41.63544926836121,65.69336827535655,-3082.497339453077,-439.83613043704764,-1690.9801040255172
32,1500009C09Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Meox1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15033614617547733,0.0,0.0,0.0,0.0,0.0
34,Tssk1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.6456738764505,0.0,-388.58267671605364,0.0,0.0,0.0,0.0,-60.6131758890727,-84.18677982130815,2.1504488969401168,0.0,0.0,-344.81728534507647,-144.9174222222472,-591.456209366446
35,Syce1,0.0,0.0,0.0,0.0,-229.98446613253424,0.0,22.313295225535054,0.0,0.0,-120.90202799331513,-87.61403236283631,0.0,0.0,-24.62705136532147,0.0,-105.29588094737876,0.0,-154.44933903098584,7.7915948355990645,-80.52541162006708,49.0100955823007,-745.5814768053622,-151.15239385320388,-1427.5468468837134
36,Ube2u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-300.2188393229844,0.0,0.0
37,Ggn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4407668378096244,0.0,0.0,0.0,-43.678617484469875,-116.96840057999376
38,Cct8l1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7311519367707575,0.0,0.0,0.0,0.0,0.0
39,1110032A03Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Cpa5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.22992110724982,0.0,0.0,0.0,0.0,-0.12934871795552255,0.0,0.0,0.0,0.0,0.0
41,Tmem89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1085.38407152397,0.0,0.0
42,Tekt4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.148755510295618,0.0,0.0,0.0,0.0,0.0
43,Snai3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Nkapl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.49121471559937,0.0
45,Sh2d5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03040953617676593,0.0,0.0,0.0,1.0738039915102873,0.0
46,Spdya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26848459207421166,0.0,0.0,-64.51191143722332,0.0,0.0
47,Stat4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Spsb1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Ccdc63,0.0,0.0,0.0,0.0,0.0,0.0,-4.7942787194627785,0.0,0.0,7.152782717350319,-3.9259161812526653,0.0,0.0,-120.75080850891707,0.0,-15.496522339289053,0.0,0.0,0.1508529427355064,0.0,-3.2285847257353497,-231.6337523641633,76.82749331791749,-321.40863272656935
50,Aknad1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.011781805213225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07943594181315075,0.0,0.0,152.93779513989725,-12.581730955753716,0.0
51,Shcbp1l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5158392042606063,0.0,0.0,0.0,0.0,0.0
52,Ldhal6b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-219.39886599277887,0.0,0.0,0.0,-75.95688188656956,0.9027858975500368,0.0,0.0,-296.4949471977564,0.0,-38.00311655101413
