,Gene,Zbtb3,Rad21,Npas2,Atf1,Smc3,Creb3,Mxi1,Mxd4,Dlx5,Crem,Rfx5,Mesp1,Rfx1,Esx1,Hoxa4,Rfx2,Etv2,Creb3l4,Rfx4,Hsfy2
0,Dclk1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Meox1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.261427423339605,0.0,0.0,0.0,0.0,0.0,18.907749863179678,0.0,0.0,-53.83463104086336,-65.32788099238829,0.0
2,Slc14a2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0633806598517297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.1392811034347075,0.0
3,Usp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.3809526374703,-177.80296274712694,0.0
4,Gal3st3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7204108867166222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.019417851534154,0.0
5,Ntsr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Fancd2os,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.51188039266233,0.0,-0.3483777456839885,0.0,76.16647705022409,21.267236769707623,0.0,23.35162950526691,-55.00854920264374,-0.10391244625475826,-53.83326958503445
7,Tssk1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-279.3575285976223,-86.29692702358281,0.0,0.0,0.0,0.0,-5.780278290151967,0.0,-93.06043445935752,-223.38576178249852,-64.34836193886831,-92.05311025250514
8,Fam229a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1017.3987230710518,0.0,0.0,-457.13316178940954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Nova2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
