"","gene_id","gene_name","gene_length"
"1","ENSMUSG00000000001","Gnai3",3262
"25","ENSMUSG00000000003","Pbsn",902
"62","ENSMUSG00000000028","Cdc45",3506
"164","ENSMUSG00000000031","H19",2460
"197","ENSMUSG00000000037","Scml2",6397
"564","ENSMUSG00000000049","Apoh",1594
"619","ENSMUSG00000000056","Narf",4806
"654","ENSMUSG00000000058","Cav2",3335
"684","ENSMUSG00000000078","Klf6",4391
"716","ENSMUSG00000000085","Scmh1",7731
"929","ENSMUSG00000000088","Cox5a",2101
"954","ENSMUSG00000000093","Tbx2",3626
"974","ENSMUSG00000000094","Tbx4",3401
"1037","ENSMUSG00000000103","Zfy2",3107
"1084","ENSMUSG00000000120","Ngfr",3446
"1102","ENSMUSG00000000125","Wnt3",3076
"1118","ENSMUSG00000000126","Wnt9a",3329
"1145","ENSMUSG00000000127","Fer",4680
"1309","ENSMUSG00000000131","Xpo6",16920
"1606","ENSMUSG00000000134","Tfe3",9261
"1835","ENSMUSG00000000142","Axin2",5506
"1916","ENSMUSG00000000148","Brat1",6179
"2064","ENSMUSG00000000149","Gna12",3416
"2087","ENSMUSG00000000154","Slc22a18",1699
"2205","ENSMUSG00000000157","Itgb2l",4324
"2321","ENSMUSG00000000159","Igsf5",2523
"2406","ENSMUSG00000000167","Pih1d2",2813
"2485","ENSMUSG00000000168","Dlat",4886
"2548","ENSMUSG00000000171","Sdhd",1231
"2562","ENSMUSG00000000182","Fgf23",1814
"2574","ENSMUSG00000000183","Fgf6",4657
"2585","ENSMUSG00000000184","Ccnd2",9409
"2644","ENSMUSG00000000194","Gpr107",12766
"2739","ENSMUSG00000000197","Nalcn",14715
"2925","ENSMUSG00000000202","Btbd17",3187
"2958","ENSMUSG00000000204","Slfn4",3964
"3010","ENSMUSG00000000214","Th",2364
"3152","ENSMUSG00000000215","Ins2",1312
"3246","ENSMUSG00000000216","Scnn1g",2991
"3278","ENSMUSG00000000223","Drp2",8553
"3518","ENSMUSG00000000244","Tspan32",6234
"3691","ENSMUSG00000000247","Lhx2",4393
"3757","ENSMUSG00000000248","Clec2g",2847
"3846","ENSMUSG00000000253","Gmpr",2323
"3895","ENSMUSG00000000263","Glra1",2414
"3963","ENSMUSG00000000266","Mid2",8114
"4047","ENSMUSG00000000275","Trim25",5754
"4107","ENSMUSG00000000276","Dgke",8387
"4191","ENSMUSG00000000278","Scpep1",2097
"4223","ENSMUSG00000000282","Mnt",4627
"4254","ENSMUSG00000000290","Itgb2",3052
"4382","ENSMUSG00000000295","Hddc2",3508
"4428","ENSMUSG00000000296","Tpd52l1",1323
"4518","ENSMUSG00000000301","Pemt",2104
"4621","ENSMUSG00000000303","Cdh1",4574
"4703","ENSMUSG00000000305","Cdh4",7257
"4773","ENSMUSG00000000308","Ckmt1",2496
"4899","ENSMUSG00000000317","Bcl6b",3719
"4935","ENSMUSG00000000318","Clec10a",2899
"5073","ENSMUSG00000000320","Alox12",4085
"5128","ENSMUSG00000000325","Arvcf",6715
"5440","ENSMUSG00000000326","Comt",2532
"5495","ENSMUSG00000000339","Rtca",1880
"5585","ENSMUSG00000000340","Dbt",3348
"5644","ENSMUSG00000000346","Dazap2",2900
"5670","ENSMUSG00000000355","Mcts1",1571
"5706","ENSMUSG00000000359","Rem1",2156
"5732","ENSMUSG00000000365","Rnf17",6241
"5892","ENSMUSG00000000374","Trappc10",8128
"5979","ENSMUSG00000000378","Ccm2",3666
"6101","ENSMUSG00000000381","Wap",1008
"6122","ENSMUSG00000000384","Tbrg4",3696
"6284","ENSMUSG00000000385","Tmprss2",7302
"6356","ENSMUSG00000000386","Mx1",3785
"6509","ENSMUSG00000000392","Fap",5662
"6797","ENSMUSG00000000394","Gcg",1494
"6834","ENSMUSG00000000399","Ndufa9",2101
"6893","ENSMUSG00000000402","Egfl6",2704
"6923","ENSMUSG00000000409","Lck",2929
"7045","ENSMUSG00000000411","Tssk3",1280
"7055","ENSMUSG00000000416","Cttnbp2",8829
"7260","ENSMUSG00000000420","Galnt1",5519
"7398","ENSMUSG00000000435","Myf5",2083
"7410","ENSMUSG00000000439","Mkrn2",7005
"7439","ENSMUSG00000000440","Pparg",2953
"7539","ENSMUSG00000000441","Raf1",6845
"7705","ENSMUSG00000000486","Septin1",2763
"7833","ENSMUSG00000000489","Pdgfb",4161
"7881","ENSMUSG00000000530","Acvrl1",4265
"8084","ENSMUSG00000000531","Grasp",2033
"8106","ENSMUSG00000000532","Acvr1b",4418
"8130","ENSMUSG00000000538","Tom1l2",8764
"8375","ENSMUSG00000000544","Gpa33",2742
"8430","ENSMUSG00000000552","Zfp385a",2515
"8492","ENSMUSG00000000555","Itga5",4933
"8633","ENSMUSG00000000560","Gabra2",7640
"8722","ENSMUSG00000000561","Wdr77",4841
"8803","ENSMUSG00000000562","Adora3",3729
"8824","ENSMUSG00000000563","Atp5pb",4105
"8886","ENSMUSG00000000567","Sox9",4135
"8898","ENSMUSG00000000568","Hnrnpd",7354
"9075","ENSMUSG00000000579","Dynlt1c",3777
"9103","ENSMUSG00000000581","C1d",3995
"9143","ENSMUSG00000000594","Gm2a",4127
"9157","ENSMUSG00000000600","Krit1",21853
"9357","ENSMUSG00000000605","Clcn4",8575
"9513","ENSMUSG00000000606","Vmn2r88",4597
"9696","ENSMUSG00000000617","Grm6",5421
"9759","ENSMUSG00000000627","Sema4f",5290
"9827","ENSMUSG00000000628","Hk2",5969
"9919","ENSMUSG00000000631","Myo18a",16037
"11183","ENSMUSG00000000632","Sez6",5779
"11354","ENSMUSG00000000673","Haao",4681
"11434","ENSMUSG00000000682","Cd52",1187
"11450","ENSMUSG00000000686","Abhd15",3035
"11474","ENSMUSG00000000690","Hoxb6",1964
"11495","ENSMUSG00000000693","Loxl3",4603
"11564","ENSMUSG00000000701","Tcl1b5",1055
"11578","ENSMUSG00000000706","Btn1a1",4119
"11614","ENSMUSG00000000708","Kat2b",4867
"11707","ENSMUSG00000000711","Rab5b",4201
"11730","ENSMUSG00000000724","Cryba1",1594
"11752","ENSMUSG00000000730","Dnmt3l",2988
"11902","ENSMUSG00000000731","Aire",3825
"12331","ENSMUSG00000000732","Icosl",4620
"12376","ENSMUSG00000000738","Spg7",4518
"12600","ENSMUSG00000000739","Sult5a1",4419
"12675","ENSMUSG00000000740","Rpl13",2595
"12709","ENSMUSG00000000743","Chmp1a",3272
"12742","ENSMUSG00000000751","Rpa1",5578
"12852","ENSMUSG00000000753","Serpinf1",2359
"12953","ENSMUSG00000000759","Tubgcp3",8568
"13127","ENSMUSG00000000766","Oprm1",8037
"13563","ENSMUSG00000000776","Polr3d",2854
"13621","ENSMUSG00000000782","Tcf7",3019
"13695","ENSMUSG00000000787","Ddx3x",5277
"13760","ENSMUSG00000000791","Il12rb1",4105
"13860","ENSMUSG00000000792","Slc5a5",2928
"13896","ENSMUSG00000000794","Kcnn3",10451
"13921","ENSMUSG00000000804","Usp32",7680
"14077","ENSMUSG00000000805","Car4",1966
"14146","ENSMUSG00000000811","Txnrd3",2836
"14219","ENSMUSG00000000817","Fasl",1937
"14242","ENSMUSG00000000823","Zfp512b",6810
"14373","ENSMUSG00000000826","Dnajc5",6953
"14452","ENSMUSG00000000827","Tpd52l2",4982
"14618","ENSMUSG00000000838","Fmr1",8966
"14893","ENSMUSG00000000861","Bcl11a",13175
"14959","ENSMUSG00000000869","Il4",1227
"15000","ENSMUSG00000000876","Pxmp4",3114
"15025","ENSMUSG00000000881","Dlg3",5844
"15237","ENSMUSG00000000884","Gnb1l",4219
"15425","ENSMUSG00000000889","Dbh",2692
"15458","ENSMUSG00000000901","Mmp11",2778
"15533","ENSMUSG00000000902","Smarcb1",7930
"15619","ENSMUSG00000000903","Vpreb3",859
"15638","ENSMUSG00000000915","Hip1r",7369
"15779","ENSMUSG00000000916","Nsun5",4317
"15856","ENSMUSG00000000934","Top1mt",2043
"15903","ENSMUSG00000000938","Hoxa10",3270
"15928","ENSMUSG00000000942","Hoxa4",1594
"15938","ENSMUSG00000000948","Gm38393",5216
"15980","ENSMUSG00000000957","Mmp14",5960
"16062","ENSMUSG00000000958","Slc7a7",3315
"16236","ENSMUSG00000000959","Oxa1l",4457
"16282","ENSMUSG00000000976","Heatr6",6419
"16361","ENSMUSG00000000982","Ccl3",766
"16373","ENSMUSG00000000983","Wfdc18",1220
"16397","ENSMUSG00000001014","Icam4",1110
"16417","ENSMUSG00000001016","Ilf2",8580
"16490","ENSMUSG00000001017","Chtop",3637
"16622","ENSMUSG00000001018","Snapin",2290
"16667","ENSMUSG00000001020","S100a4",584
"16686","ENSMUSG00000001021","S100a3",2670
"16722","ENSMUSG00000001023","S100a5",432
"16743","ENSMUSG00000001025","S100a6",1367
"16780","ENSMUSG00000001027","Scn4a",7041
"16836","ENSMUSG00000001029","Icam2",1904
"16881","ENSMUSG00000001034","Mapk7",4394
"16995","ENSMUSG00000001036","Epn2",5228
"17210","ENSMUSG00000001039","B9d1",1593
"17262","ENSMUSG00000001052","Sec24b",6020
"17387","ENSMUSG00000001053","N4bp3",2728
"17425","ENSMUSG00000001054","Rmnd5b",2161
"17488","ENSMUSG00000001056","Nhp2",1146
"17506","ENSMUSG00000001062","Vps9d1",5153
"17716","ENSMUSG00000001065","Zfp276",5530
"17789","ENSMUSG00000001076","C1ql4",1474
"17799","ENSMUSG00000001082","Mfsd10",2894
"18072","ENSMUSG00000001089","Luzp1",8112
"18140","ENSMUSG00000001095","Slc13a2",2412
"18170","ENSMUSG00000001098","Kctd10",4039
"18245","ENSMUSG00000001100","Poldip2",3783
"18313","ENSMUSG00000001103","Sebox",1359
"18336","ENSMUSG00000001105","Ift20",1525
"18395","ENSMUSG00000001119","Col6a1",4380
"18484","ENSMUSG00000001120","Pcbp3",2933
"18679","ENSMUSG00000001123","Lgals9",2137
"18763","ENSMUSG00000001127","Araf",6541
"18938","ENSMUSG00000001128","Cfp",1736
"18966","ENSMUSG00000001131","Timp1",888
"19001","ENSMUSG00000001134","Uxt",1639
"19051","ENSMUSG00000001138","Cnnm3",6420
"19107","ENSMUSG00000001143","Lman2l",7359
"19221","ENSMUSG00000001150","Mcm3ap",7197
"19317","ENSMUSG00000001151","Pcnt",12154
"19564","ENSMUSG00000001155","Ftcd",3192
"19616","ENSMUSG00000001156","Mxd1",7072
"19669","ENSMUSG00000001157","Gmcl1",6493
"19724","ENSMUSG00000001158","Snrnp27",1837
"19767","ENSMUSG00000001166","Oas1c",2405
"19803","ENSMUSG00000001168","Oas1h",1703
"19834","ENSMUSG00000001173","Ocrl",9486
"19985","ENSMUSG00000001175","Calm1",4706
"20028","ENSMUSG00000001211","Agpat3",7790
"20242","ENSMUSG00000001225","Slc26a3",6369
"20388","ENSMUSG00000001227","Sema6b",3968
"20467","ENSMUSG00000001228","Uhrf1",4259
"20643","ENSMUSG00000001229","Dpp9",7883
"20723","ENSMUSG00000001240","Ramp2",3301
"20805","ENSMUSG00000001247","Lsr",2172
"20915","ENSMUSG00000001248","Gramd1a",5239
"21208","ENSMUSG00000001249","Hpn",4101
"21377","ENSMUSG00000001260","Gabrg1",7869
