"","gene_id","gene_name","gene_length"
"1","ENSG00000000003","TSPAN6",4536
"73","ENSG00000000005","TNMD",1476
"97","ENSG00000000419","DPM1",9276
"310","ENSG00000000457","SCYL3",6883
"445","ENSG00000000460","C1orf112",5970
"760","ENSG00000000938","FGR",3382
"910","ENSG00000000971","CFH",15284
"2096","ENSG00000001036","FUCA2",2822
"2127","ENSG00000001084","GCLC",8618
"2369","ENSG00000001167","NFYA",6209
"2418","ENSG00000001460","STPG1",8511
"2542","ENSG00000001461","NIPAL3",9396
"2673","ENSG00000001497","LAS1L",12555
"3202","ENSG00000001561","ENPP4",4644
"3216","ENSG00000001617","SEMA3F",4826
"3412","ENSG00000001626","CFTR",16821
"4598","ENSG00000001629","ANKIB1",7389
"4707","ENSG00000001630","CYP51A1",4171
"4801","ENSG00000001631","KRIT1",21110
"6649","ENSG00000002016","RAD52",4503
"6961","ENSG00000002079","MYH16",6307
"7036","ENSG00000002330","BAD",1708
"7105","ENSG00000002549","LAP3",3779
"7252","ENSG00000002586","CD99",4858
"7482","ENSG00000002587","HS3ST1",7435
"7506","ENSG00000002726","AOC1",3786
"7597","ENSG00000002745","WNT16",3264
"7624","ENSG00000002746","HECW1",13935
"7793","ENSG00000002822","MAD1L1",6955
"8082","ENSG00000002834","LASP1",7061
"8210","ENSG00000002919","SNX11",4133
"8405","ENSG00000002933","TMEM176A",3477
"8518","ENSG00000003056","M6PR",3585
"8652","ENSG00000003096","KLHL13",6928
"8791","ENSG00000003137","CYP26B1",4839
"8855","ENSG00000003147","ICA1",4883
"9256","ENSG00000003249","DBNDD1",4462
"9331","ENSG00000003393","ALS2",33513
"12239","ENSG00000003400","CASP10",8920
"12470","ENSG00000003402","CFLAR",22478
"12800","ENSG00000003436","TFPI",11714
"12972","ENSG00000003509","NDUFAF7",3651
"13148","ENSG00000003756","RBM5",10357
"13429","ENSG00000003987","MTMR7",6928
"13543","ENSG00000003989","SLC7A2",7905
"13724","ENSG00000004059","ARF5",1825
"13774","ENSG00000004139","SARM1",11105
"13861","ENSG00000004142","POLDIP2",2670
"13916","ENSG00000004399","PLXND1",9557
"14117","ENSG00000004455","AK2",17967
"14452","ENSG00000004468","CD38",6857
"14513","ENSG00000004478","FKBP4",5163
"14588","ENSG00000004487","KDM1A",18325
"15615","ENSG00000004534","RBM6",7299
"16043","ENSG00000004660","CAMKK1",7433
"16164","ENSG00000004700","RECQL",3779
"16319","ENSG00000004766","VPS50",9559
"16768","ENSG00000004776","HSPB6",1724
"16800","ENSG00000004777","ARHGAP33",5260
"17020","ENSG00000004779","NDUFAB1",1548
"17088","ENSG00000004799","PDK4",4544
"17133","ENSG00000004809","SLC22A16",3907
"17236","ENSG00000004838","ZMYND10",2889
"17366","ENSG00000004846","ABCB5",8796
"17529","ENSG00000004848","ARX",3114
"17559","ENSG00000004864","SLC25A13",3710
"17681","ENSG00000004866","ST7",6526
"18285","ENSG00000004897","CDC27",6824
"18643","ENSG00000004939","SLC4A1",5125
